Var1,Var2,Corr,Abs_Corr
part_etranger,perrsa2021,0.21615923772698495,0.21615923772698495
pvoixRNratio,prixm2ratio2022,-0.21394046897718108,0.21394046897718108
paind2022,pparratio,0.21301439323120405,0.21301439323120405
pabs,paind2022,-0.2130143878811731,0.2130143878811731
pvoteCratio,pvoixDVGratio,-0.21230406213740313,0.21230406213740313
peretr2022,pvoteDCDratio,-0.2122934603259046,0.2122934603259046
perimmigre2022,pvoteDCDratio,-0.2116229110162313,0.2116229110162313
perrsa2021,pop2022,0.20783202588869248,0.20783202588869248
pindp2022,pouvr2022,-0.20577009861435347,0.20577009861435347
perpropri2022,popagglo2022,-0.20395444580260652,0.20395444580260652
paica2022,pparratio,0.2030823015611769,0.2030823015611769
pabs,paica2022,-0.20308229786560056,0.20308229786560056
pvoteCGratio,pvoixRNratio,-0.20221068676841752,0.20221068676841752
pvoixDVGratio,pvoixENSratio,-0.20126270979823752,0.20126270979823752
pvoixUDIratio,pvoteDCDratio,-0.2011220936534732,0.2011220936534732
pop2022,popagglo2022,0.20060405402085751,0.20060405402085751
capitalratio2022,pvoteDCDratio,-0.19935210877943796,0.19935210877943796
pvoteCDratio,pvoixUDIratio,-0.19808479698746292,0.19808479698746292
prixm2ratio2022,peretr2022,0.1967857026570987,0.1967857026570987
part_francais,revratio2022,-0.1960335456023732,0.1960335456023732
pvoteCDratio,pvoixRNratio,-0.19533798018800072,0.19533798018800072
pagri2022,ppint2022,-0.19386747741034,0.19386747741034
pcapi2022,pindp2022,-0.19296925099047943,0.19296925099047943
pagri2022,pparratio,0.19228859084347713,0.19228859084347713
pabs,pagri2022,-0.1922885865010649,0.1922885865010649
revratio2022,pbac2022,0.19226550987528632,0.19226550987528632
pvoteCGratio,pvoteDratio,-0.1919541937840251,0.1919541937840251
part_etranger,pvoteTGratio,0.19017831930204207,0.19017831930204207
part_etranger,pvoteTDratio,-0.19017831785139536,0.19017831785139536
pempl2022,pagri2022,-0.19016808729172,0.19016808729172
pvoixRNratio,psup2022,-0.18991723496015062,0.18991723496015062
pvoteGCGratio,part_etranger,0.1881529357539419,0.1881529357539419
perpropri2022,pinsratio,0.18776394642102104,0.18776394642102104
nmencomp,popagglo2022,0.1869595861150747,0.1869595861150747
pvoteCGratio,pvoixENSratio,-0.1861446609445591,0.1861446609445591
pop2022,prixm2ratio2022,0.18527155811417892,0.18527155811417892
capitalratio2022,pvoixRNratio,-0.1844152330216729,0.1844152330216729
psup2022,paica2022,0.18436267659407385,0.18436267659407385
pvoixDVGratio,pvoteDratio,-0.18432920513947287,0.18432920513947287
pvoteGratio,pvoixDVDratio,-0.18406588302326535,0.18406588302326535
