dep,codecommune,ppropri2022,nlogement2022,npropri2022,perpropri2022
1,1270,,0,0,1.0000014
1,1271,.85758513,323,277,.93300593
1,1272,.65847665,814,536,.61069757
1,1273,.79274613,772,612,.82328153
1,1274,.54982817,291,160,.46354789
1,1275,.74048781,1025,759,.73118901
1,1276,.93594307,562,526,.9951672
1,1277,.71739131,92,66,.69510418
1,1278,,0,0,1.0000014
1,1279,.85964912,57,49,.93594265
1,1280,.83544302,79,66,.8992967
1,1281,.6215421,1699,1056,.55516243
1,1282,.69421488,121,84,.66111588
1,1283,.35155413,10263,3608,.15690692
1,1284,.79918033,244,195,.83461338
1,1285,.77136755,468,361,.78533089
1,1286,.86746991,166,144,.94609708
1,1287,,0,0,1.0000014
1,1288,.75804877,1025,777,.76111126
1,1289,.65493423,3040,1991,.60478806
1,1290,.78549385,648,509,.81035596
1,1291,.79418886,413,328,.82630146
1,1292,.75,60,45,.74842244
1,1293,.89705884,68,61,.97583729
1,1294,.76732671,404,310,.77733648
1,1295,.71631205,141,101,.69386077
1,1296,.7764706,170,132,.79501134
1,1297,.88724035,337,299,.96758837
1,1298,.82608694,46,38,.88272071
1,1299,.75688076,218,165,.75959396
1,1300,.73279351,247,181,.71821976
1,1301,.72992128,1270,927,.71387345
1,1302,.86842108,76,66,.94711024
1,1303,.62032712,856,531,.55287009
1,1304,.60917586,1177,717,.53920931
1,1305,.45008183,1222,550,.31988582
1,1306,.35858586,792,284,.16967703
1,1307,.52266669,375,196,.43112424
1,1308,.67272729,385,259,.63228416
1,1309,.85106385,47,40,.92279577
1,1310,.72093022,43,31,.70044762
1,1311,.9375,16,15,.99562675
1,1312,.70588237,102,72,.67757022
1,1313,.66471738,2565,1705,.6200431
1,1314,.77887326,710,553,.79911435
1,1315,,0,0,1.0000014
1,1316,.73134327,67,49,.71580797
1,1317,.91911763,136,125,.98928791
1,1318,.93230772,325,303,.99402052
1,1319,.79802954,203,162,.83247787
1,1320,.75393939,1650,1244,.75498545
1,1321,.84166664,360,303,.90910041
1,1322,.81770223,1706,1395,.86734152
1,1323,.85981309,428,368,.93612313
1,1324,,0,0,1.0000014
1,1325,.80000001,460,368,.83627784
1,1327,,0,0,1.0000014
1,1328,.74122804,228,169,.73333615
1,1329,.69411767,85,59,.66109055
1,1330,.7368421,76,56,.72520256
1,1331,.83505154,97,81,.89878023
1,1332,.90625,256,232,.98214608
1,1333,.67903227,1240,842,.64157641
1,1334,.82375479,261,215,.87852955
1,1335,.83422458,187,156,.89742142
1,1336,.720339,472,340,.69969803
1,1337,.83974361,624,524,.90610474
1,1338,.75505048,396,299,.75701839
1,1339,.88025892,618,544,.96074528
1,1340,.80681819,88,71,.84783375
1,1341,.92134833,89,82,.9903549
1,1342,.82916665,240,199,.88857847
1,1343,.74452555,822,612,.7385357
1,1344,.84244895,2450,2064,.91068381
1,1345,.71212119,990,705,.6870302
1,1346,.78624076,407,320,.81141883
1,1347,.84390247,820,692,.91283023
1,1348,.68060839,1315,895,.64416087
1,1349,.90857142,175,159,.98370594
1,1350,.71064812,1296,921,.68513644
1,1351,.79259259,675,535,.82297009
1,1352,.80592108,304,245,.84639907
1,1353,.89258701,661,590,.97203809
1,1354,.43994522,5112,2249,.2898621
1,1355,.80193239,207,166,.83917767
1,1356,.88043481,92,81,.96096355
1,1357,.54976302,211,116,.4635388
1,1358,.81566823,217,177,.86388052
1,1359,.72649574,117,85,.70816416
1,1360,.71048951,715,508,.68470025
1,1361,.89518416,706,632,.97429168
1,1362,.85546875,256,219,.92975664
1,1363,.71621621,740,530,.69384277
1,1364,.74937344,399,299,.74732447
1,1365,.8504464,448,381,.9222362
1,1366,.8738938,452,395,.95377302
1,1367,.6825397,315,215,.64593822
1,1368,.77811551,329,256,.79742324
1,1369,.79424781,452,359,.8264755
1,1370,.14082146,1193,168,.00030782618
1,1371,.68274581,539,368,.6464569
1,1372,.78440368,218,171,.80914575
1,1373,.62550604,494,309,.56334162
1,1374,.84688997,836,708,.91728413
1,1375,.81994462,361,296,.87154812
1,1376,.59762532,1516,906,.52368677
1,1378,.86406928,1155,998,.94208956
1,1379,.80434781,322,259,.84366918
1,1380,.82706767,399,330,.88449848
1,1381,.77406681,509,394,.79006487
1,1382,.85276073,163,139,.92540282
1,1383,.65739387,683,449,.60929888
1,1384,.50609183,1067,540,.40864718
1,1385,.77866668,375,292,.79876941
1,1386,.765324,571,437,.77406114
1,1387,.78378379,74,58,.8079406
1,1388,.60998154,541,330,.5405432
1,1389,.69977677,896,627,.66863406
1,1390,.63681591,402,256,.5776397
1,1391,.86466163,133,115,.94281363
1,1392,.92761391,373,346,.99255788
1,1393,.71653545,254,182,.69404256
1,1396,.53846157,559,301,.45347399
1,1397,.68228108,491,335,.64580858
1,1398,.73878205,624,461,.72836661
1,1399,.73870057,708,523,.72822344
1,1400,.69791669,96,67,.66615504
1,1401,.79418343,894,710,.82628846
1,1402,.76923078,364,280,.78052479
1,1403,.75478929,522,394,.75657713
1,1404,.83146065,89,74,.89298099
1,1405,.7077176,609,431,.68024719
1,1406,.78021979,91,71,.80175447
1,1407,.56238699,553,311,.48249656
1,1408,.72865856,328,239,.71194398
1,1409,.84745765,59,50,.91801035
1,1410,.86885244,122,106,.94759339
1,1411,.7682119,151,116,.7787419
1,1412,.78947371,266,210,.81742966
1,1413,.9285714,42,39,.99293196
1,1414,.82178217,101,83,.87481689
1,1415,.72350228,217,157,.70406961
1,1416,.57728118,537,310,.50032461
1,1417,.7482993,147,110,.74498487
1,1418,.89150941,424,378,.97114474
1,1419,.68289876,2608,1781,.64662313
1,1420,.26893941,792,213,.023360383
1,1421,.81694913,295,241,.8657614
1,1422,.76837724,721,554,.77890146
1,1423,.93356645,286,267,.9943772
1,1424,.86677629,608,527,.94552594
1,1425,.85211265,142,121,.92444134
1,1426,.73926073,1001,740,.72912478
1,1427,.46369067,3181,1475,.3459174
1,1428,.63043481,46,29,.56866688
1,1429,.83516484,273,228,.89893073
1,1430,.72549021,357,259,.70664209
1,1431,.78407079,565,443,.8085314
1,1432,.81502891,173,141,.86249691
1,1433,.83720928,86,72,.90213013
1,1434,.83333331,180,150,.89626884
1,1435,.66122448,980,648,.61449283
1,1436,.6323024,291,184,.57102913
1,1437,.84946239,93,79,.92094684
1,1438,,0,0,1.0000014
1,1439,.78947371,38,30,.81725144
1,1440,,0,0,1.0000014
1,1441,.76785713,336,258,.77815419
1,1442,.81632656,196,160,.86478448
1,1443,.59319663,2146,1273,.51884025
1,1444,.76996195,526,405,.78156811
1,1445,.83771932,228,191,.90307403
1,1446,.83161002,677,563,.89319742
1,1447,.6847015,536,367,.6491158
1,1448,.779661,177,138,.80034333
1,1449,.87193459,367,320,.95170015
1,1450,.81723422,1439,1176,.8661598
1,1451,.72012103,2644,1904,.69924629
1,1452,.61161524,551,337,.54265213
1,1453,.73417723,158,116,.72069347
1,1454,.75072461,345,259,.74981326
1,1455,,0,0,1.0000014
1,1456,.8888889,27,24,.96907103
1,1457,.53714287,1400,752,.45163757
1,1458,,0,0,1.0000014
2,2001,.907489,227,206,.98291773
2,2002,.85903084,227,195,.93507004
2,2003,.84745765,413,350,.91805494
2,2004,.86153847,65,56,.93874663
2,2005,.75903612,166,126,.7630083
2,2006,.83471072,121,101,.89827639
2,2007,.87301588,63,55,.95283276
2,2008,.90082645,121,109,.97852224
2,2009,.86538464,208,180,.94359797
2,2010,.83333331,78,65,.89586437
2,2011,.82758623,493,408,.88608444
2,2012,.5925926,27,16,.51812565
2,2013,.83529413,170,142,.89918917
2,2014,.85087717,342,291,.92258334
2,2015,.75,16,12,.74828762
2,2016,.83333331,84,70,.89587981
2,2017,.77272725,110,85,.78763622
2,2018,.69077569,954,659,.65657043
2,2019,.78888887,180,142,.81619287
2,2020,.83251232,203,169,.89478397
2,2021,.85365856,41,35,.92689812
2,2022,.84079599,201,169,.90784484
2,2023,.97916669,48,47,.99974781
2,2024,.7241379,29,21,.70522708
2,2025,.79738563,153,122,.83107823
2,2026,.84285712,70,59,.91113764
2,2027,.82258064,124,102,.8761698
2,2028,.82697672,1075,889,.88441509
2,2029,.88235295,136,120,.96311438
2,2030,.86861312,137,119,.94735605
2,2031,.7348243,313,230,.72184128
2,2032,.56470591,85,48,.48517394
2,2033,.8142857,70,57,.86173075
2,2034,.87272727,55,48,.95256013
2,2035,.83653843,104,87,.90134215
2,2036,.69230771,26,18,.658481
2,2037,.746732,612,457,.74185634
2,2038,.78787881,33,26,.81468606
2,2039,.73584908,53,39,.72314322
2,2040,.85227275,88,75,.92456776
2,2041,.92328769,365,337,.99112469
2,2042,.91145831,192,175,.98529464
2,2043,.72727275,33,24,.70938319
2,2044,.69230771,13,9,.65848017
2,2045,,0,0,1.0000014
2,2046,.88931298,262,233,.96924585
2,2047,.53968257,63,34,.45438763
2,2048,.7735849,53,41,.78902626
2,2049,.85422742,343,293,.92787355
2,2050,.84027779,144,121,.90713835
2,2051,.88023955,167,147,.96069008
2,2052,.77941179,68,53,.7997511
2,2053,.87586206,145,127,.95594722
