dep;codecommune;nfoyisf2017;mmoyfortune2017;pisf2017;perpisf2017;misf2017;permisf2017;pop2017
59;59122;156;2667042;.0047914493;.55819237;12778.996;.54009986;32558
59;59163;284;4230316;.013497457;.86843091;57098.512;.91230881;21041
59;59178;148;2458772;.0037279597;.33602211;9166.2031;.32977852;39700
59;59183;263;2360639;.0030107724;.23217393;7107.3467;.22492658;87353
59;59279;53;2343109;.0025480769;.16551131;5970.4219;.17774835;20800
59;59295;100;2476886;.0046639615;.55034649;11552.102;.48339668;21441
59;59328;264;2723507;.0095482655;.81764251;26004.77;.82123882;27649
59;59350;973;2705935;.0041797869;.42730969;11310.231;.47695521;232787
59;59368;169;2806195;.0079818638;.73774117;22398.666;.75070196;21173
59;59378;815;3379017;.021104695;.91511738;71313.125;.93457049;38617
59;59512;137;3123752;.0014125168;.038378358;4412.3521;.084131293;96990
59;59599;117;2212724;.0012016268;.019985171;2658.8684;.015703205;97368
59;59606;188;2364520;.0043381946;.45299974;10257.748;.39167732;43336
59;59646;234;3181588;.011426339;.83454096;36353.902;.87806332;20479
60;60057;168;2818031;.0029864544;.22560592;8415.9209;.2814838;56254
60;60159;340;2769533;.0084579214;.74856865;23424.494;.76045614;40199
61;61001;82;2333240;.0031723925;.24837989;7401.9531;.23910846;25848
62;62041;178;2370878;.0043394524;.4548403;10288.313;.39351788;41019
62;62119;107;2591497;.0042980518;.4510552;11138.389;.44654995;24895
62;62160;73;2437449;.0017859765;.062409069;4353.2266;.079779238;40874
62;62193;92;2477918;.0012447403;.031447019;3084.3645;.032005619;73911
62;62498;60;2617825;.0019099156;.084686659;4999.8247;.10186617;31415
63;63113;484;2503563;.0033637742;.28382465;8421.4199;.28794014;143886
64;64024;467;2491208;.011996198;.83976543;29885.025;.83777958;38929
64;64102;269;2609393;.0052510346;.58601809;13702.013;.59848839;51228
64;64122;612;2529373;.024090694;.93350857;60934.352;.92177248;25404
64;64445;451;2395498;.0058472711;.61359674;14007.126;.60334945;77130
65;65440;102;2332097;.0024567659;.16457799;5729.416;.15135154;41518
66;66136;502;2536052;.0041778325;.41371858;10595.2;.40532365;120158
67;67180;157;2849602;.0045501972;.49953064;12966.251;.58222079;34504
67;67218;107;2171732;.0039955191;.38408372;8677.1963;.29878491;26780
67;67447;71;2539596;.0022261241;.1248963;5653.4556;.14168848;31894
67;67482;1862;3273344;.0066271364;.69836628;21692.896;.7485522;280966
68;68066;311;2775376;.0045003979;.48758039;12490.297;.53486007;69105
68;68224;367;2877950;.0033533438;.27736831;9650.7559;.34599286;109443
68;68297;82;2628951;.0038721254;.37241927;10179.628;.38973278;21177
69;69029;172;2431917;.0041402886;.40439263;10068.838;.38255787;41543
69;69034;563;2796882;.01303633;.8598727;36461.078;.88000119;43187
69;69123;4718;2740466;.0091417814;.78707284;25052.74;.81840467;516092
69;69149;71;2197514;.002702394;.18944362;5938.5488;.17254756;26273
69;69202;411;2882466;.018671634;.90656334;53820.348;.90785795;22012
69;69204;182;2416434;.0085780267;.75828099;20728.236;.72537881;21217
69;69244;269;2654925;.012064403;.84076583;32030.086;.85457146;22297
69;69264;107;2320604;.002903112;.22102763;6736.9731;.20167716;36857
69;69266;274;2211022;.001854961;.079345509;4101.3594;.06615375;147712
69;69275;55;2104158;.0019229425;.087160408;4046.1748;.056529824;28602
69;69282;95;2835529;.0028377692;.21338849;8046.5767;.26699993;33477
69;69286;105;2458141;.0034986006;.30154446;8600.0537;.2966671;30012
69;69290;81;2844559;.0017529811;.058606014;4986.4585;.10045654;46207
71;71076;145;2482798;.0032153628;.25583214;7983.0962;.26137063;45096
71;71270;122;2699017;.0036268507;.32227382;9788.9316;.37319311;33638
72;72181;550;2677459;.0038476067;.36857256;10301.81;.39993203;142946
73;73008;247;2207023;.0082902601;.74476159;18296.795;.70065171;29794
73;73065;346;2659881;.0058724689;.6162405;15620.068;.6629377;58919
74;74010;1196;2424021;.0094229616;.81108552;22841.457;.75639719;126924
74;74012;113;2184705;.0031642024;.24722005;6912.8491;.20601042;35712
74;74281;245;2528043;.0070491424;.70767605;17820.535;.69576877;34756
75;75101;833;3587881;.051211115;.98402619;183739.39;.98402613;16266
75;75102;562;2720931;.026889952;.94255;73165.703;.93644905;20900
75;75103;1250;3249056;.036640774;.97054404;119047.93;.97054386;34115
75;75104;1333;3731819;.047457989;.98329633;177104.63;.98329628;28088
75;75105;2720;3057294;.0462192;.98203599;141305.69;.98069096;58850
75;75106;4004;4576866;.097420923;.99769521;445882.53;.99498683;41100
75;75107;5795;5749206;.11281562;1.0000002;648600.25;1.0000002;51367
75;75108;3148;4445890;.085524887;.98567784;380234.25;.98567778;36808
75;75109;1977;2873778;.033196203;.96799827;95398.523;.9626103;59555
75;75110;1149;2673428;.012714115;.85676473;33990.27;.86932617;90372
75;75111;2275;2626143;.015513867;.89595073;40741.633;.89630431;146643
75;75112;2495;2514481;.017783828;.90461636;44717.098;.90259957;140296
75;75113;2204;2600513;.012103306;.85024571;31474.807;.8472178;182099
75;75114;3564;3006125;.026212821;.94055021;78799.016;.94561273;135964
75;75115;6998;2751738;.029983889;.9560855;82507.813;.95608532;233392
75;75116;14361;4469350;.086324319;.9931426;385813.59;.9931426;166361
75;75117;6340;3340379;.037898712;.97805047;126596.07;.97805029;167288
75;75118;1663;2910352;.0085180271;.75732899;24790.457;.79375345;195233
75;75119;1134;2572157;.0060636848;.65971285;15596.749;.65914738;187015
75;75120;1199;2531889;.0061231577;.67052943;15503.155;.64960402;195814
76;76217;102;2195137;.0035075652;.30284932;7699.5864;.25424701;29080
76;76351;390;2503817;.0022921357;.13825588;5739.0884;.15898623;170147
76;76540;518;2483610;.0047028917;.55528879;11680.148;.48833901;110145
77;77058;85;2440053;.0031045692;.24144617;7575.3135;.24682429;27379
77;77108;133;2238734;.0024218366;.16167276;5421.8481;.13305828;54917
77;77243;96;3168705;.004495224;.48447955;14244.038;.60430771;21356
77;77284;132;2425275;.0024003929;.15707898;5821.6128;.16424365;54991
